Complex id;Complex name;Synonyms;organism;subunits (UniProt IDs);subunits (Entrez IDs);protein complex purification method;PubMed id;FunCat categories;"functional comment";"disease comment";"subunit comment";
194;PA28gamma-20S proteasome;;Human;P25786,P25787,P25788,P25789,P28066,P60900,O14818,P20618,P49721,P49720,P28070,P28074,P28072,Q99436,P61289;5682,5683,5684,5685,5686,5687,5688,5689,5690,5691,5692,5693,5694,5695,10197;MI:0029- cosedimentation through density gradients;7811265;14.07.11,14.13.01.01,32.01,70.03,70.10;"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.";"";"";
305;40S ribosomal subunit, cytoplasmic; small ribosomal subunit, cytoplasmic;Human;P62861,P46783,P62280,P25398,P62277,P62263,P62841,P62244,P62249,P08708,P62269,P39019,P15880,P60866,P63220,P62266,P62847,P62851,P62854,P42677,P62979,P62857,P62273,P23396,P61247,P62701,P46782,P62753,P62081,P62241,P46781,P08865,(P22090,Q8TD47);2197,6204,6205,6206,6207,6208,6209,6210,6217,6218,6222,6223,6187,6224,6227,6228,6229,6230,6231,6232,6233,6234,6235,6188,6189,6191,6193,6194,6201,6202,6203,3921,(6192,140032);MI:0363- inferred by author;14681386;12,70.03;"";"";"";
306;Ribosome, cytoplasmic;;Human;P62861,P27635,P62906,P62913,P30050,P26373,P40429,P50914,P61313,P18621,Q07020,Q02543,P84098,P46778,P35268,P62829,P62750,P83731,P61254,P61353,P46776,P46779,P47914,P39023,P62888,P62899,P62910,P49207,P42766,P18077,Q9Y3U8,P83881,P61927,P61513,P63173,P62891,P36578,P62945,P46777,Q02878,P18124,P62424,P62917,P32969,P05388,P05386,P05387,P46783,P62280,P25398,P62277,P62263,P62841,P62244,P62249,P08708,P62269,P39019,P15880,P60866,P63220,P62266,P62847,P62851,P62854,P42677,P62979,P62857,P62273,P23396,P61247,P62701,P46782,P62753,P62081,P62241,P46781,P08865,P62987,(P22090,Q8TD47);2197,6134,4736,6135,6136,6137,23521,9045,6138,6139,6141,6142,6143,6144,6146,9349,6147,6152,6154,6155,6157,6158,6159,6122,6156,6160,6161,6164,11224,6165,25873,6173,6167,6168,6169,6170,6124,6171,6125,6128,6129,6130,6132,6133,6175,6176,6181,6204,6205,6206,6207,6208,6209,6210,6217,6218,6222,6223,6187,6224,6227,6228,6229,6230,6231,6232,6233,6234,6235,6188,6189,6191,6193,6194,6201,6202,6203,3921,7311,(6192,140032);MI:0363- inferred by author;14681386;12,70.03;"";"";"";
308;60S ribosomal subunit, cytoplasmic; large ribosomal subunit, cytoplasmic;Human;P27635,P62906,P62913,P30050,P26373,P40429,P50914,P61313,P18621,Q07020,Q02543,P84098,P46778,P35268,P62829,P62750,P83731,P61254,P61353,P46776,P46779,P47914,P39023,P62888,P62899,P62910,P49207,P42766,P18077,Q9Y3U8,P83881,P61927,P61513,P63173,P62891,P36578,P62945,P46777,Q02878,P18124,P62424,P62917,P32969,P05388,P05386,P05387,P62987;6134,4736,6135,6136,6137,23521,9045,6138,6139,6141,6142,6143,6144,6146,9349,6147,6152,6154,6155,6157,6158,6159,6122,6156,6160,6161,6164,11224,6165,25873,6173,6167,6168,6169,6170,6124,6171,6125,6128,6129,6130,6132,6133,6175,6176,6181,7311;MI:0363- inferred by author;14681386;12,70.03;"";"";"";
322;DNA-PK-Ku complex; DNA-PK-Ku70-Ku80 complex;Human;P78527,P13010,P12956;5591,7520,2547;MI:0040- electron microscopy | MI:0029- cosedimentation through density gradients;16713581;11.02.03,14.07.03,16.03.01,18.01.01,18.02.01.01,70.10;"For assembly of the DNA-PK-Ku70-Ku80 complex presence of DNA is necessary. DNA-bound Ku directs the recruitment of the catalytic subunit DNA-Pk via a small helical domain at the C-terminus of Ku80.";"";"";
338;40S ribosomal subunit, cytoplasmic; small ribosomal subunit, cytoplasmic;Human;P62861,P46783,P62280,P25398,P62277,P62263,P62841,P62244,P62249,P08708,P62269,P39019,P15880,P60866,P63220,P62266,P62847,P62851,P62854,P62979,P62857,P62273,P23396,P61247,P62701,P46782,P62753,P62081,P62241,P46781,P08865;2197,6204,6205,6206,6207,6208,6209,6210,6217,6218,6222,6223,6187,6224,6227,6228,6229,6230,6231,6233,6234,6235,6188,6189,6191,6193,6194,6201,6202,6203,3921;MI:0029- cosedimentation through density gradients | MI:0004- affinity chromatography technologies;15883184;12,70.03;"";"";"RPS27 was not detected in this study. RPS4Y1 and RPSY2 could not be detected, since HeLa cells were used, which contain no Y chromosome.";
355;DNA-PK-Ku antigen complex;;Human;P78527,P13010,P12956;5591,7520,2547;MI:0091- chromatography technologies;1465419;11.02.03,14.07.03,16.03.01,18.01.01,18.02.01.01,70.10;"Ku antigen activates DNA-PK that phosphorylates the C-terminal domain of RNA polymerase II.";"";"";
356;DNA-PK-Ku antigen complex;;Human;P78527,P13010,P12956;5591,7520,2547;MI:0030- cross-linking studies | MI:0019- coimmunoprecipitation;8422676;11.02.03,14.07.03,16.03.01,18.01.01,18.02.01.01,70.10;"DNA-PK is directed to the DNA by interaction with Ku antigen.";"";"";
357;DNA-PK-Ku antigen complex;;Human;P78527,P13010,P12956;5591,7520,2547;MI:0029- cosedimentation through density gradients;8486698;11.02.03,14.07.03,16.03.01,18.01.01,18.02.01.01,70.10;"Ku antigen activates DNA-PK that phosphorylates the C-terminal domain of RNA polymerase II.";"";"";
387;MCM complex;;Human;P49736,P25205,P33991,P33992,Q14566,P33993;4171,4172,4173,4174,4175,4176;MI:0226- ion exchange chromatography;8798650;10.01.02,10.01.03,16.19.03,70.10.03;"";"The MCM proteins are highly expressed in malignant human cancer cells and pre-cancerous cells undergoing malignant transformation (PMID:16101384).";"";
656;VPS35-VPS29-VPS26A complex;;Human;O75436,Q9UBQ0,Q96QK1;9559,51699,55737;MI:0019- coimmunoprecipitation;11102511;14.04;"";"";"";
726;DDB2 complex;Ubiquitin E3 ligase;Human;P61201,Q9UNS2,Q9BT78,Q92905,Q7L5N1,Q99627,Q13619,Q16531,Q92466,Q13098,P62877,(Q9UBW8,Q9H9Q2);9318,8533,51138,10987,10980,10920,8451,1642,1643,2873,9978,(50813,64708);MI:0007- anti tag coimmunoprecipitation | MI:0029- cosedimentation through density gradients;12732143;10.01.05.01,14.07.05,16.03.01,32.01.09,70.10;"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Results suggest that the distinct UV response of the DDB2 and CSA complexes is involved in diverse mechanisms of nucleotide excision repair (NER). The DDB2 complex binds to DNA after UV irradiation.";"";"";
727;CSA complex;Ubiquitin E3 ligase;Human;P61201,Q9UNS2,Q9BT78,Q92905,Q7L5N1,Q99627,Q13619,Q16531,Q13216,Q13098,P62877,(Q9UBW8,Q9H9Q2);9318,8533,51138,10987,10980,10920,8451,1642,1161,2873,9978,(50813,64708);MI:0007- anti tag coimmunoprecipitation | MI:0029- cosedimentation through density gradients;12732143;10.01.05.01,14.07.05,16.01,32.01.09,70.10;"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Results suggest that the distinct UV response of the DDB2 and CSA complexes is involved in diverse mechanisms of nucleotide excision repair (NER). The CSA complex does not bind to DNA, regardless of UV damage.";"";"";
728;CSA-POLIIa complex;Ubiquitin E3 ligase;Human;P61201,Q9UNS2,Q9BT78,Q92905,Q7L5N1,Q99627,Q13619,Q16531,Q13216,Q13098,P24928,P62877,(Q9UBW8,Q9H9Q2);9318,8533,51138,10987,10980,10920,8451,1642,1161,2873,5430,9978,(50813,64708);MI:0007- anti tag coimmunoprecipitation | MI:0029- cosedimentation through density gradients;12732143;10.01.05.01,11.02.03,14.07.05,32.01.09,70.10;"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. This complex has been purified from UV-irradiated cells. Results suggest that the distinct UV response of the DDB2 and CSA complexes is involved in diverse mechanisms of nucleotide excision repair (NER).";"";"";
742;eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7);;Human;Q14152,P55884,Q99613,O15371,P60228,Q9Y262,O00303,O75821,O15372,Q13347,O75822,Q9UBQ5;8661,8662,8663,8664,3646,51386,8665,8666,8667,8668,8669,27335;MI:0019- coimmunoprecipitation | MI:0004- affinity chromatography technologies;14519125;12.04.01;"";"";"";
1097;eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1);;Human;Q14152,P55884,Q99613,O15371,P60228,Q9Y262,O00303,O75821,O15372,Q13347,O75822,Q9UBQ5,Q7L2H7;8661,8662,8663,8664,3646,51386,8665,8666,8667,8668,8669,27335,10480;MI:0069- mass spectrometry studies of complexes;17322308;12.04.01;"Four eIF3 subunits (h, i, k, and m) were found to dissociate preferentially and are therefore likely to be on the periphery of the complex (PMID:17322308).";"";"Each of 13 subunits of this complex present in stoichiometric amounts (PMID:17322308).";
1181;C complex spliceosome;;Human;O60306,Q8WUQ7,O60508,Q99459,Q9BZJ0,Q9P013,Q9HCG8,Q9BUQ8,Q9UJV9,P17844,Q96DF8,Q9H5Z1,Q92620,Q14562,Q15029,P38919,Q14331,Q9BRR8,P09651,P22626,P51991,P07910,P52597,P31943,P61978,P52272,O43390,Q00839,Q9ULR0,Q9Y333,P62310,P61326,Q9BRX9,P11940,O43660,Q9H307,Q9UNP9,Q9Y3C6,Q9H2H8,Q96BP3,Q9UMS4,Q13523,O94906,Q6P2Q9,Q9UKM9,Q9NW64,Q9Y5S9,P38159,O43290,Q6UX04,Q15459,Q15428,Q12874,O75533,Q13435,Q15393,Q07955,P42285,O95391,O75643,Q96DI7,P09661,P14678,P08579,P62314,P62316,P62318,P62304,P62306,P62308,Q13573,Q8IYB3,Q9UQ35,O95926,O60506,Q9UBB9,Q86V81,Q01081,Q9HCS7,Q6NZY4;9716,58509,51362,988,51340,51503,57703,9416,51428,1655,8220,60625,9785,1659,9343,9775,2483,55094,3178,3181,220988,3183,3185,3187,3190,4670,10236,3192,57461,57819,27258,4116,84292,26986,5356,5411,10450,51645,53938,23398,27339,8899,24148,10594,22913,55696,9939,27316,9092,10283,10291,8175,10946,23451,10992,23450,6426,23517,10569,23020,9410,6627,6628,6629,6632,6633,6634,6635,6636,6637,22938,10250,23524,25949,10492,24144,10189,7307,56949,55596;MI:0028- cosedimentation in solution | MI:0096- pull down;11991638;16.03.03,11.04.03.01,70.10;"In eukaryotes, the removal of introns from nascent transcripts is mediated by a highly dynamic, macromolecular machine called the spliceosome.";"";"";
1452;MCM2-MCM6-MCM7 complex;;Human;P49736,Q14566,P33993;4171,4175,4176;MI:0006- anti bait coimmunoprecipitation;15448696;10.01.03,70.10;"";"";"";
2174;COP9 signalosome complex; JAB1-containing signalosome (GPS1, COPS2, COPS3, COPS4, COPS5, COPS6, COPS7) | COP9 complex homolog;Human;P61201,Q9UNS2,Q9BT78,Q92905,Q7L5N1,Q99627,Q13098,(Q9UBW8,Q9H9Q2);9318,8533,51138,10987,10980,10920,2873,(50813,64708);MI:0047- far western blotting;9535219;11.02.03.04,30,34.11.01;"The purified complex is very similar, if not identical,  to the plant COP9 complex involved in light-mediated signal transduction. A regulating transcriptional activity is discussed.";"";"";
2179;CNS-P53 complex;;Human;P61201,Q9UNS2,Q9BT78,Q92905,Q7L5N1,Q9UBW8,Q99627,Q13098,P04637;9318,8533,51138,10987,10980,50813,10920,2873,7157;MI:0096- pull down | MI:0047- far western blotting | MI:0040- electron microscopy;11285227;14.04;"";"";"";
2791;MCM4-MCM6-MCM7 complex;;Human;P33991,Q14566,P33993;4173,4175,4176;MI:0091- chromatography technologies;9305914;01.04,10.01.02,10.01.03,16.19.03,70.10;"This complex has DNA helicase activity.";"";"";
2792;MCM2-MCM4-MCM6-MCM7 complex;;Human;P49736,P33991,Q14566,P33993;4171,4173,4175,4176;MI:0091- chromatography technologies | MI:0029- cosedimentation through density gradients;9305914;01.04,10.01.02,10.01.03,16.19.03,70.10;"This complex has DNA helicase activity.";"";"";
3040;Multisynthetase complex; Aminoacyl tRNAsynthetase multienzyme complex;Human;P14868,O43324,P07814,P41252,Q13155,Q15046,Q9P2J5,P56192,P47897,P54136,Q12904;1615,9521,2058,3376,7965,3735,51520,4141,5859,5917,9255;MI:0028- cosedimentation in solution | MI:0226- ion exchange chromatography;16169847;12.10,70.03,70.10;"The characteristic "core" complex of aminoacyl tRNAsynthetase in higher eukaryotes is composed of nine synthetase activities. These are specific for arginine, aspartate, glutamate, glutamine, isoleucine, leucine, lysine, methionine, and proline. There are also three auxiliary proteins in the multisynthetase complex: p43, p38, and p18. These are involved in protein-protein interactions within the particle and with other protein synthesis factors.";"";"";
3055;Nop56p-associated pre-rRNA complex; Nop56p-associated pre-ribosomal ribonucleoprotein complex;Human;P62736,P63267,Q8TDN6,Q9NR30,Q08211,Q99848,P68104,P13639,P22087,Q9BVP2,Q92522,P16402,Q99879,P09651,P52272,Q00839,Q9NZI8,Q12905,Q12906,Q9Y383,Q9NX58,Q9BQG0,P55209,P19338,P55769,Q9Y2X3,O00567,Q14978,P06748,Q13610,Q9NW13,P27635,P62906,P62913,P30050,P26373,P40429,P50914,P61313,P18621,Q07020,Q02543,P84098,P46778,P35268,P62829,P62750,P83731,P61254,P61353,P46776,P46779,P47914,P39023,P62888,P62899,P62910,P42766,P18077,Q9Y3U8,P83881,P61513,P62891,P36578,P46777,Q02878,P18124,P62424,P62917,P32969,P05388,P05386,P05387,P62280,P25398,P62277,P62263,P62841,P62244,P62249,P08708,P62269,P15880,P62266,P62847,P62273,P61247,P62753,P62081,P62241,P46781,O76021,Q6P3W7,P05141,P37108,Q96SB4,Q13428,P11387,Q71U36,Q9H4B7,P49411,Q01081,P26368,P67809;59,72,55299,9188,1660,10969,1915,1938,2091,26354,8971,3007,8342,3178,4670,3192,10642,3608,3609,51631,55646,10514,4673,4691,4809,51602,10528,9221,4869,11137,55131,6134,4736,6135,6136,6137,23521,9045,6138,6139,6141,6142,6143,6144,6146,9349,6147,6152,6154,6155,6157,6158,6159,6122,6156,6160,6161,11224,6165,25873,6173,6168,6170,6124,6125,6128,6129,6130,6132,6133,6175,6176,6181,6205,6206,6207,6208,6209,6210,6217,6218,6222,6187,6228,6229,6235,6189,6194,6201,6202,6203,26156,55681,292,6727,6732,6949,7150,7846,81027,7284,7307,11338,4904;MI:0007- anti tag coimmunoprecipitation | MI:0069- mass spectrometry studies of complexes;12777385;12.01,70.10;"Identification of pre-rRNA species within hNop56p-associated pre-ribosomal ribonucleoprotein complexes, coupled with the known functions of yeast orthologs of the probable trans-acting factors identified in man, demonstrated that hNop56p functions in the early to middle stages of 60 S subunit synthesis.";"";"";
3074;CCT:PFD complex, testis specific;;Mammalia;Q32L40,Q3ZBH0,Q3T0K2,Q2T9X2,Q3T115,Q3T084,Q2NKZ1,Q3ZCI9,O60925,Q9UHV9,Q9NQP4,Q99471,O15212,P61758;512043,505313,504735,613336,533784,538090,514355,281047,5201,5202,5203,5204,10471,7411;MI:0040- electron microscopy | MI:0028- cosedimentation in solution | MI:0226- ion exchange chromatography;12456645;14.01,16.01;"The biogenesis of the cytoskeletal proteins actin and tubulin involves interaction of nascent chains of each of the two proteins with the oligomeric protein prefoldin (PFD) and their subsequent transfer to the cytosolic chaperonin CCT (chaperonin containing TCP-1). Three-dimensional reconstruction of the CCT:PFD complex based on cryoelectron microscopy reveals that PFD binds to each of the two CCT rings. The gene product of Cct6b has only been detected in testis, whereas the other Cctz gene, Cctz-1, is expressed in all tissues investigated.";"";"";
3082;DGCR8 multiprotein complex;;Human;Q92841,P17844,Q8WYQ5,Q08211,P35637,P31943,O43390,Q00839,P11021,Q12906,P19338;10521,1655,54487,1660,2521,3187,10236,3192,3309,3609,4691;MI:0007- anti tag coimmunoprecipitation | MI:0416- fluorescence microscopy;17765891;11.04,70.10;"";"";"";
5176;MGC1-DNA-PKcs-Ku complex;;Human;Q14676,P78527,P13010,P12956;9656,5591,7520,2547;MI:0096- pull down | MI:0006- anti bait coimmunoprecipitation;15377652;10.01.05.01,10.03.01.03,32.01.09,70.10;"MDC1 directly interacts with the DNA-PKc-Ku complex and this interaction is required for efficient DNA-PK autophosphorylation and DNA damage repair.";"";"";
5179;NCOA6-DNA-PK-Ku-PARP1 complex;;Human;Q14686,P09874,P78527,P13010,P12956;23054,142,5591,7520,2547;MI:0096- pull down;12519782;10.01.05.01,70.10;"TRBP (NCOA6) stimulates DNA-PK kinase activity in the absence of DNA.";"";"";
5182;DNA-PK-Ku complex; DNA-PK-Ku70-Ku80 complex;Human;P78527,P13010,P12956;5591,7520,2547;MI:0412- electrophoretic mobility supershift assay;9442054;10.01.05.01,14.07.03,16.03.01,18.01.01,18.02.01.01,70.10;"For assembly of the DNA-PK-Ku70-Ku80 complex presence of DNA is necessary.";"";"";
5183;DNA-PK-Ku-eIF2-NF90-NF45 complex;;Human;P05198,P20042,P41091,Q12905,Q12906,P78527,P13010,P12956;1965,8894,1968,3608,3609,5591,7520,2547;MI:0412- electrophoretic mobility supershift assay | MI:0006- anti bait coimmunoprecipitation;9442054;10.01.05.01,14.07.03,16.03.01,18.01.01,18.02.01.01,70.10;"NF90, in complex with NF45, interacts with DNA-PKcs and Ku and promotes formation of a complex on DNA.";"";"";
5209;Ubiquilin-proteasome complex;;Human;P25786,P25787,P60900,Q05086,Q9UMX0,Q9UHD9;5682,5683,5687,7337,29979,29978;MI:0019- coimmunoprecipitation;10983987;14.13.01.01;"";"";"";
5380;TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle);;Human;Q9UHA3,Q9UPY3,P56537,Q9HCE1,P62906,P62913,P30050,P26373,P50914,P61313,Q02543,P84098,P46778,P61353,P46779,P62888,P62910,P49207,P18077,Q9Y3U8,P61513,P18124,P62424,P05386,P05387;51187,23405,3692,4343,4736,6135,6136,6137,9045,6138,6142,6143,6144,6155,6158,6156,6161,6164,6165,25873,6168,6129,6130,6176,6181;MI:0071- molecular sieving | MI:0096- pull down;17507929;11.02.03.04.07,12.07,16.03.03;"In mass spectrometric sequencing analyses the authors showed that in addition to RISC subunits they obtained protein sequences corresponding to nearly all subunits of the large (60S) ribosomal particle. The ability of eIF6 to inhibit joining of the 60S and 40S subunits of the ribosome and, thus, to prevent formation of a translationally competent complex, raises the possibility that eIF6 may repress translation by blocking initiation or ribosome recycling.";"";"";
