Complex id;Complex name;Synonyms;organism;subunits (UniProt IDs);subunits (Entrez IDs);protein complex purification method;PubMed id;FunCat categories;"functional comment";"disease comment";"subunit comment";
2120;Chuk-Ikbkb-Ikbkg complex;;Mouse;Q60680,O88351,O88522;12675,16150,16151;MI:0019- coimmunoprecipitation;15479644;45.03.12;"";"";"";
2418;ITGA4-ITGB1 complex;;Human;P13612,P05556;3676,3688;MI:0019- coimmunoprecipitation;3546305;34.07;"";"";"";
2815;BRCA1-BARD1-BACH1-DNA damage complex II;;Human;O14867,Q99728,P38398,P49959,O60934,Q92878,Q99708,Q92547;571,580,672,4361,4683,10111,5932,11073;MI:0029- cosedimentation through density gradients | MI:0006- anti bait coimmunoprecipitation;16391231;10.01.03,10.01.05.01,10.03.01.03,32.01.09,70.10;"This complex occurs after exposure to UV irradiation. ";"BRCA1 is involved in breast cancer.";"";
2413;ITGA6-ITGB1 complex; Integrin complex;Human;P23229,P05556;3655,3688;MI:0004- affinity chromatography technologies;2649503;34.07;"";"";"";
3489;Klf5-Pias1 complex;;Mouse;Q9Z0Z7,O88907;12224,56469;MI:0018- two hybrid | MI:0007- anti tag coimmunoprecipitation;17178721;11.02.03.04.01,16.03.01,70.10;"The authors demonstrate that Pias1 is a functional partner of Klf5 and enhances the ability of KLF5 to promote proliferation.";"";"";
2853;ITGA5-ITGB1-CAL4A3 complex; integrin complex;Human;P39060,P08648,P05556;80781,3678,3688;MI:0004- affinity chromatography technologies | MI:0019- coimmunoprecipitation;12682293;18.02.01.02.05;"Endostatin binding to alpha5-beta1 integrin leads to the inhibition of focal adhesion kinase/c-Raf/MEK1/2/p38/ERK1 mitogen-activated protein kinase pathway, with no effect on phosphatidylinositol 3-kinase/Akt/mTOR/4E-BP1 and Cap-dependent translation.";"";"";
186;Wave-2 complex;;Human;Q8IZP0,Q8WUW1,Q7L576,Q9Y2A7,Q9Y6W5;10006,55845,23191,10787,10163;MI:0029- cosedimentation through density gradients | MI:0091- chromatography technologies;15070726;30.01.05.05.01,34.05.01,42.04.03,70.04.03;"Proteins are only present in the complexed form, with the exception of Hspc (C3orf10). The complex is organized around a core of Nap and Abi. Sra is a peripheral subunit recruited on the Nap side, whereas the Wave and Hspc subunits are recruited on the Abi side of the core.";"";"";
2913;PLC-gamma-2-LAT complex;;Human;O43561,P16885;27040,5336;MI:0019- coimmunoprecipitation;10469124;30.01.09.11,30.05.01.12,36.25.16.09,73.03.07.03;"Analyses done with  GST-PLC-gamma-2SH2(C) fusion protein from resting and CRP (collagen-related peptide) stimulated platelets. PLC-gamma-2 associates directly with SLP-76 and LAT.";"";"";
5100;CyclinD3-CDK4-CDK6 complex;;Human;P30281,P11802,Q00534;896,1019,1021;MI:0007- anti tag coimmunoprecipitation;8930396;10.03.01.01,10.03.01.01.03,30.01.05.01,41.05.15;"Upon myocyte differentiation subunit composition of the CDK4/6 complex is altered. Interaction with cyclinD1 is reduced but interaction with cyclinD3 and p21 is enhanced thus inhibiting the kinase activity of CDK4/6.";"";"";
3161;PRL receptor (PRLR) dimer complex;;Human;P16471;5618;MI:0019- coimmunoprecipitation;16556730;30.05.02;"The process of receptor dimerization can be either constitutive or ligand dependent. The receptor dimer appears in variant (alternatively spliced) forms: As heterodimer long form (LF) - short form (SF) S1a/S1b and homodimers LF - LF, SF - SF.";"";"";
5821;BAD-BCL2xL complex;;Mouse;Q61337,Q64373;12015,12048;MI:0030- cross-linking studies;12242151;40.10.02.04,70.16.01;"";"";"";
1768;CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L complex;;Human;Q16630,Q01844,Q96J02,O43809,P24928,Q14157;11052,2130,83737,11051,5430,9898;MI:0096- pull down;16055720;11.02.03.01,42.04.03,42.10.03;"";"";"";
3740;SKI-SMAD3-SMAD4  pentameric complex;;Human;P12755,P84022,Q13485;6497,4088,4089;MI:0065- isothermal titration calorimetry | MI:0071- molecular sieving;17283070;11.02.03.04,30.05.01.18.01;"The results suggest that Ski negatively regulates TGF-beta signaling by replacing CBP in R-Smad complexes.";"";"";
1335;SNW1 complex;;Human;Q9UG63,Q99459,Q16531,Q9BUQ8,P68104,P26641,Q15029,Q00839,P11021,P43243,P43246,P17858,Q6P2Q9,P23246,O75643,Q13573,P07437,O95071;10061,988,1642,9416,1915,1937,9343,3192,3309,9782,4436,5211,10594,6421,23020,22938,203068,51366;MI:0007- anti tag coimmunoprecipitation;12840015;11.02.03.04.01,11.04.03.01,70.10;"Identified subunits of the SNW1 complex represent components of the spliceosome as well as other nuclear matrix-associated proteins. Evidence was found that the complex couples vitamin D receptor-mediated transcription and RNA splicing.";"";"";
355;DNA-PK-Ku antigen complex;;Human;P78527,P13010,P12956;5591,7520,2547;MI:0091- chromatography technologies;1465419;11.02.03,14.07.03,16.03.01,18.01.01,18.02.01.01,70.10;"Ku antigen activates DNA-PK that phosphorylates the C-terminal domain of RNA polymerase II.";"";"";
1890;ELK1-SRF-ELK4 complex;;Human;P19419,P28324,P11831;2002,2005,6722;MI:0413- electrophoretic mobility shift assay;7540136;11.02.03.04;"";"";"";
2604;P-TEFb-SKP2 complex;;Human;O60563,P50750,Q13309;904,1025,6502;MI:0019- coimmunoprecipitation;11689688;11.02.03.01.04,11.02.03.04,14.13.01.01,18.01.01,18.02.01.01,70.10;"Binding of SKP2 to P-TEFb requires PEST domain of cyclin T1. CDK9 is ubiquitinated and degraded by the proteasome whereas cyclin T1 is stable.";"";"";
3712;Smad2-Smad4 complex;;Mouse;Q62432,P97471;17126,17128;MI:0065- isothermal titration calorimetry | MI:0114- x-ray crystallography | MI:0226- ion exchange chromatography;15350224;11.02.03.04,30.05.01.18.01,70.10;"Preferential formation of the R-Smad/Smad4 heterotrimer over the R-Smad homotrimer is largely enthalpy driven, contributed by the unique presence of strong electrostatic interactions within the heterotrimeric interfaces.";"";"";
1220;TRF2-Ku complex;;Human;Q15554,P13010,P12956;7014,7520,2547;MI:0018- two hybrid | MI:0019- coimmunoprecipitation;10984620;16.03.01,42.10.03,70.10;"";"";"";
604;Kv4.2-DPPX-KChIP channel complex;;Rat;P46101,Q63881,(Q8R426,Q9JM59,Q9JM47,Q99MG9);29272,65180,(65023,56817,65199,259243);MI:0006- anti bait coimmunoprecipitation;12575952;14.04,18.02.10,20.01.01.01,20.03.01.01,34.03.03,70.02,73.03.13,77.03.01.01.01;"DPPX facilitates the intracellular trafficking of Kv4 proteins and drastically increases the surface expression of Kv4 channels.";"";"";
54;SIN3 complex; Histone deacetylase complex;Human;Q13547,Q92769,Q09028,Q16576,O00422,O75446,Q96ST3;3065,3066,5928,5931,10284,8819,25942;MI:0004- affinity chromatography technologies;9150135;10.01.09.05,11.02.03.04.03,14.07.04,16.01,42.10.03,70.10;"";"";"";
1100;DNA polymerase alpha-primase complex;;Human;P09884,Q14181,P49642,P49643;5422,23649,5557,5558;MI:0226- ion exchange chromatography;12220650;10.01.03.03,70.10;"DNA polymerase alpha-primase can initiate DNA synthesis de novo.";"";"";
353;DNA ligase IV-condensin complex;;Human;P49917,O95347,Q9NTJ3;3981,10592,10051;MI:0428- imaging techniques | MI:0402- chromatin immunoprecipitation assays | MI:0019- coimmunoprecipitation;12589063;10.01.05.01,10.03,70.10.03;"DNA ligase IV interacts with SMC2L1 protein.";"";"";
1079;P-TEFb.1 complex; transcription elongation factor b.1 complex;Human;O60563,P50750;904,1025;MI:0007- anti tag coimmunoprecipitation;9499409;01.04,11.02.03.01.04,11.02.03.04.01,18.01.01,18.02.01.01,70.10;"Cyclin T activates CDK9 in the P-TEFb complex. P-TEFb works as a protein kinase that phosphorylates the C-terminal domain of the RNAPII largest subunit.";"";"";
5817;tBID-BCL2 complex;;Mammalia;P10415,P55957;596,637;MI:0030- cross-linking studies | MI:0019- coimmunoprecipitation;11583631;40.10.02.04,70.16.01;"";"";"";
368;ERCC1-ERCC4-MSH2 complex;;Human;P07992,Q92889,P43246;2067,2072,4436;MI:0071- molecular sieving | MI:0006- anti bait coimmunoprecipitation;14706347;01.03.16.03,10.01.05.01,32.01.09,70.10;"";"ERCC4 is involved in xeroderma pigmentosum group F.";"";
3182;FHL2 homodimer complex;;Human;Q14192;2274;MI:0018- two hybrid;11046156;11.02.03.04,18.01.07,18.02.09;"FHL2 protein forms homodimer complexes.";"";"";
2205;ORC5-ORC1 complex;;Human;Q13415,O43913;4998,5001;MI:0006- anti bait coimmunoprecipitation;15448696;10.01.03.03,70.10;"";"";"";
860;DNMT1-G9a-PCNA complex;;Human;P26358,Q96KQ7,P12004;1786,10919,5111;MI:0019- coimmunoprecipitation;17085482;10.01.03,10.01.09.01,14.07.09,42.10.03,70.10;"DNMT1 and G9a are loaded onto the chromatin simultaneously in a ternary complex with loading factor PCNA during chromatin replication. Direct cooperation between DNMT1 and G9a provides a mechanism of coordinated DNA and H3K9 methylation during cell division.";"";"";
632;Anti-HDAC2 complex;;Human;O60341,Q12873,Q14839,Q14687,P78347,Q13547,Q92769,Q9P0W2,Q13330,O94776,Q96BD5,Q09028,Q16576,Q9UKL0,Q9UBW7,Q14202,(Q96ST3,O75182);23028,1107,1108,23199,2969,3065,3066,10362,9112,9219,51317,5928,5931,23186,7750,9203,(25942,23309);MI:0006- anti bait coimmunoprecipitation | MI:0091- chromatography technologies;12493763;10.01.09.05,11.02.03.04.03,14.07.04,42.10.03,70.10;"";"XFIM (ZMYM3) is involved in X-linked mental retardation.";"";
471;PCAF complex; PCAF histone acetylase-associated complex;Human;Q92831,O75486,O75478,O75528,Q12962,Q16514,O75529,Q9Y6J9,Q16594,Q9Y4A5;8850,8464,6871,10474,6881,6883,27097,10629,6880,8295;MI:0006- anti bait coimmunoprecipitation | MI:0004- affinity chromatography technologies;9674425;10.01.09.05,11.02.03.01,11.02.03.04,14.07.04,42.10.03,70.10;"";"";"PCAF is a complex consisting of more than 20 different proteins. Several proteins have not been characterized in this study.";
2987;FKBP12-FK506 complex;;Mouse;P26883,Q9JLN9;14225,56717;MI:0047- far western blotting | MI:0004- affinity chromatography technologies;7822316;40.01;"FRAP is the target of the FKBP12-rapamycin complex as well as a central component of a nutrient- and hormone-sensitive pathway that controls cellular growth (PMID:14560962).";"";"";
603;Kv4.2-Dpp6 channel complex;;Rat;P46101,Q63881;29272,65180;MI:0007- anti tag coimmunoprecipitation;15911355;14.04,18.02.10,20.01.01.01,20.03.01.01,34.03.03,70.02;"DPPX (Dpp6) and DPPY preferentially form complexes with channel proteins in Kv4 family.";"";"";
2217;MDC1-MRN-ATM-FANCD2 complex;;Human;Q13315,Q9BXW9,Q14676,P49959,O60934,Q92878;472,2177,9656,4361,4683,10111;MI:0006- anti bait coimmunoprecipitation;12607005;10.01.05.01,10.03.01.03,16.03.01,32.01.09,70.10;"Prior exposure of cells to irradiation appears to reduce the interaction of MDC1 with ATM and FANCD2.";"";"";
2754;JUND-FOSB-SMAD3-SMAD4 complex; TRE binding complex;Human;P53539,P17535,P84022,Q13485;2354,3727,4088,4089;MI:0412- electrophoretic mobility supershift assay;10942775;11.02.03.04,30.05.01,40.10.02.03,70.10;"The authors found that only JunD and FosB, but not the other components of the AP-1 complex, are markedly induced during TGF-beta 1-dependent apoptosis. FosB enhanced Smad3·Smad4-dependent transcription, and its dominant-negative form blocked TGF-beta 1-dependent apoptosis but not growth inhibition. These results suggest that JunD·FosB activates transcription of a putative target gene for TGF-beta 1, which is responsible for apoptosis.";"";"";
666;BKCA alpha-Cav2.1 channel complex;;Rat;P54282,Q62976;25398,83731;MI:0004- affinity chromatography technologies | MI:0019- coimmunoprecipitation;17068255;20.01.01.01,20.03.01.01,34.03,70.02,77.03.01.01;"BKCa-Cav complexes reconstitute a functional "Ca(2+) nanodomain" where Ca(2+) influx through the Cav channel activates BKCa in the physiological voltage range with submillisecond kinetics.";"";"";
1177;Polycomb repressive complex 4 (PRC4);;Human;O75530,Q15910,Q96EB6;8726,2146,23411;MI:0071- molecular sieving | MI:0226- ion exchange chromatography;15684044;10.01.09.05,11.02.03.04.07,14.07.09,42.10.03,70.10;"Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. They are methylating histones at lysine residues. PRC4 methylates preferentially the histone H1b isoform, whereas PRC2 methylated preferentially the histone H1d isoform. The PRC3 complex exclusively targets methylation of histone H3-K27, and the activity is repressed in the presence of histone H1. PRC2 also methylates histone H3-K27 but in the presence of histone H1, PRC2 methylates both H3-K27 and H1-K26. ";"PRC complexes are overexpressed in breast, colon, and prostate cancers.";"";
616;TIM (Timm17a, Timm23, Timm44, Hsp70) complex, mitochondrial;;Rat;P55063,O35092,O35093,O35094;24963,54311,54312,29635;MI:0019- coimmunoprecipitation;9538267;14.04,70.16.05;"Translocation of nuclear-encoded  mitochondrial preproteins is  mediated by translocases in the  outer (TOM) and inner (TIM)  membranes.";"";"";
5128;p18-Cdk6 complex;;Mouse;Q64261,Q60772;12571,12580;MI:0096- pull down;7739547;10.03.01,18.01.07,18.02.01.02.05,30.01.05.01;"";"";"";
2781;Rab1-GTP-p115 complex;;Rat;Q6NYB7,P41542;81754,56042;MI:0096- pull down;11285137;20.09.07.03,20.09.07.25,20.09.07.27,70.08;"The authors demonstrated that Rab1-GTP interacts with two different tethering factors - p115 and the GM130 complex.";"";"";
2432;ITGA2-ITGB1 complex;;Human;P17301,P05556;3673,3688;MI:0019- coimmunoprecipitation;3546305;34.07;"";"";"";
1108;DNA synthesome complex (15 subunits);;Human;P18858,P12004,P09884,Q14181,P28340,P49005,Q15054,Q9HCU8,Q07864,P56282,Q9NRF9,Q9NR33,P49642,P49643,P35251;3978,5111,5422,23649,5424,5425,10714,57804,5426,5427,54107,56655,5557,5558,5981;MI:0226- ion exchange chromatography | MI:0029- cosedimentation through density gradients | MI:0006- anti bait coimmunoprecipitation;9563011;10.01.03,70.10;"";"";"";
617;CASK-LIN7C-APBA1 complex;;Human;Q02410,O14936,Q9NUP9;320,8573,55327;MI:0019- coimmunoprecipitation;9822620;14.04,14.07.01,77.03.01.01.01;"This complex may play an important role in the trafficking and processing of APP in neurons.";"";"";
3544;COG2-COG3-COG4 subcomplex;;Human;Q14746,Q96JB2,Q9H9E3;22796,83548,25839;MI:0007- anti tag coimmunoprecipitation;16020545;20.01.10,20.09.07.07,42.08;"For defining the complex composition the authors combined in vitro co-translation assay with co-immunoprecipitation.";"";"";
1992;LEPR homodimer complex;;Human;P48357;3953;MI:0019- coimmunoprecipitation;9038364;40.02.03.01;"";"";"";
2700;ER-alpha-c-Jun complex;;Human;P03372,P05412;2099,3725;MI:0096- pull down | MI:0019- coimmunoprecipitation;11477071;11.02.03.04,16.03.01,30.01.11;"All experiments demonstrated that ER-alpha and c-Jun could interact in mammalian cells in a ligand-dependent manner.";"";"";
440;Succinate dehydrogenase complex II (EC 1.3.5.1), mitochondrial; Succinate ubiquinone oxidoreductase;Mouse;Q8K2B3,Q9CQA3,Q9CZB0,Q9CXV1;66945,67680,66052,66925;MI:0069- mass spectrometry studies of complexes | MI:0019- coimmunoprecipitation;16120479;01.05.02.07,02.11.05,16.21.08,20.01.15,70.16.05;"The enzyme complex is a heterotetramer divided into three domains:  SDHA, the catalytic domain- SDHB, the electron transfer subunit- SDHC/SDHD, the dimeric membrane anchor that contains beta-type heme. ";"Paraganglioma syndrome type 4 caused by a mutation in the SDHB gene (PMID:17143317).";"";
1991;PRMT2 homodimer complex;;Human;P55345;3275;MI:0096- pull down;12039952;18.02.07;"";"";"";
2171;Ubiquitin E3 ligase (CHEK1, CUL4A);;Human;O14757,Q13619;1111,8451;MI:0019- coimmunoprecipitation;16137618;14.07.05,14.13.01.01,32.01.09,70.10;"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The Chk1 kinase is a major effector of S phase checkpoint signaling during the cellular response to genotoxic stress. Replicative stress induces the polyubiquitination and degradation of Chk1 in human cells.";"";"";
2909;PLC-gamma-2-Syk-LAT-FcR-gamma complex;;Human;P12314,O43561,P16885,P43405;2209,27040,5336,6850;MI:0096- pull down;10469124;30.01.09.11,30.05.01.12,36.25.16.09,73.03.07.03;"Analyses done with different GST-PLC-gamma-2 fusion proteins from resting and CRP (collagen-related peptide) stimulated platelets.";"";"";
2366;ITGAV-ITGB3-PPAP2b complex; integrin complex;Human;P06756,P05106,O14495;3685,3690,8613;MI:0004- affinity chromatography technologies;16099422;34.07,47.03.03.02,70.02;"";"";"";
2784;Alpha-2-M enhanceosome DNA-protein complex;;Rat;P12841,P17325,P06536,P31503,P52631;314322,24516,24413,171068,25125;MI:0225- chromatin immunoprecipitation array;14522952;11.02.03.04.01,16.03.01,70.10;"Analysis done after IL-6 and Dex (Dexamethasone) treatment. The authors describe the association of severel proteins with the chromosomal (alpha)2-M enhanceosome and analyze the time course of assembly, disassembly, and stability of the enhanceosome.";"";"";
1707;IL2-IL2RA-IL2RB complex;;Human;P60568,P01589,P14784;3558,3559,3560;MI:0019- coimmunoprecipitation;2303462;30.05.01.05;"";"";"";
2001;NOD1 homodimer complex;;Human;Q9Y239;10392;MI:0114- x-ray crystallography;18186648;30.01.05.01.04,36.25.16.07;"";"";"";
448;Kir4.1-alpha-syntrophin complex, retinal Mueller cells;;Rat;P49655,Q498T0;29718,362242;MI:0019- coimmunoprecipitation | MI:0030- cross-linking studies;16206160;20.01.01.01,20.03.01.01,70.02,73.03.11,77.03.01.01,77.03.02.02;"The authors describe that interactions between the DGC, Kir4.1, and AQP4 may influence the efficiency of the glial (K+)o buffering function.";"";"";
5748;2AR-mGluR2 complex;;Human;P08913,P42262;150,2891;MI:0007- anti tag coimmunoprecipitation | MI:0012- bioluminescence resonance energy transfer | MI:0055- fluorescent resonance energy transfer;18297054;30.05.02.24;"The results are consistent with the hypothesis that the 2AR-mGluR2 complex integrates serotonin and glutamate signalling to regulate the sensory gating functions of the cortex, a process that is disrupted in psychosis.";"2AR-mGluR2 complex is involved in psychosis.";"";
5120;p19-Cdk6 complex;;Mouse;Q64261,Q60773;12571,12581;MI:0096- pull down;7739547;10.03.01,18.01.07,18.02.01.02.05,30.01.05.01;"";"";"";
2914;Respiratory chain complex I (beta subunit) mitochondrial; NADH:ubiquinone oxidoreductase (EC 1.6.5.3) beta subunit;Human;P03905,P03915,O00483,O14561,O75438,O96000,Q9NX14,O95178,O43676,O95168,O43674,O95139,P17568,O95169,Q9Y6M9,O95298;4538,4540,4697,4706,4707,4716,54539,4708,4709,4710,4711,4712,4713,4714,4715,4718;MI:0276- blue native page | MI:0063- prediction;15317750;02.11.05,02.13.03,14.10,20.01.15,70.16.05;"Complex I couples the transfer of two electrons from NADH to ubiquinone to the translocation of four protons across the mitochondrial inner membrane. Complex I  is an L-shaped molecule with one arm embedded in the mitochondrial inner membane and one arm protruding into the matrix, the peripheral arm. The assembly of complex I is a semi-sequential process in which different preassembled subcomplexes are joined to form the holoenzyme. ";"";"The authors assume an additional component (homolog to the bovine 10.6K protein).";
384;Caveolar macromolecular signaling complex;;Mouse;P97490,P18762,Q01815,P51637,P63094,Q76MZ3,P31324;11514,11555,12288,12391,14683,51792,19088;MI:0006- anti bait coimmunoprecipitation;16648270;30.05.02.24,36.25.09.03,70.02,75.03.12.03;"Anti-Ca(v)1.2 used for coimmunoprecipitation. The authors didn't differentiate between the different types of adenylate cyclases, Adcy8 was chosen due to its molecular weight, complex isolated from ventricular myocytes.";"";"";
1908;NMDA receptor complex (NR2A, NR2B, NR1, PSD-95, SynGAP, CaMK-II);;Rat;P11275,P31016,P35439,Q00959,Q00960,Q9QUH6;25400,29495,24408,24409,24410,192117;MI:0019- coimmunoprecipitation;15924861;14.04,20.03.01.01,30.01.05.05.01,30.05.02.24.05,30.07,34.03,70.02,73.03.13,77.03.01.01.01;"The authors analyse the links between NMDAR subtypes, Ras-ERK signaling, and AMPAR trafficking. They find that NR2A and NR2B have antagonistic actions on Ras-ERK activation and AMPAR distribution in mature neurons. NR2A-NMDARs promote, whereas NR2B-NMDARs inhibit, the surface expression of GluR1 - primarily by regulating GluR1 surface insertion.";"";"";
5497;Thyroglobulin folding complex (Tg, Hspa5, Pdi, Erp29, Grp94);;Rat;P52555,P06761,P20717,P06882,Q0R337;117030,25617,29511,24826,362862;MI:0019- coimmunoprecipitation | MI:0029- cosedimentation through density gradients | MI:0051- fluorescence technologies;11884402;14.01;"";"";"";
2849;ITGAV-ITGB3-NOV complex; integrin complex;Human;P06756,P05106,P48745;3685,3690,4856;MI:0004- affinity chromatography technologies;12902636;16.01,34.07,77.03.03.02;"The C-terminal domain of NOV is involved in the interaction with integrins.";"";"";
5597;Zip3-Prkcz-Gabrr3 complex;;Rat;P50573,P09217,O08623;192258,25522,113894;MI:0096- pull down;12431995;18.02.07,34.03,77.03.01.01.01;"The authors analysed the splice variant Zip3. Zip3 was able to form homo- and heterodimers and bound to PKC-zeta  and Kv-beta 2. Furthermore, Zip3 interacted with GABAC receptor rho  subunits using a different binding site, allowing simultaneous binding of rho  subunits and PKC-zeta  in vitro. These results suggest a possible formation of a PKC-zeta /ZIP3/GABAC receptor containing macromolecular complex.";"";"";
530;Cytochrome c oxidase (EC 1.9.3.1), mitochondrial; Complex IV | COX;Bovine;P00423,P00426,P00428,P07471,P00429,P04038,P07470,P13183,P00430,P10175,P00396,P68530,P00415;281090,444878,287012,282200,100270792,782486,338086,327674,327718,615757,0,3283880,0;MI:0024- confirmational text mining;11943460;02.11.05,02.13.03,16.01,20.01.15,70.16.05;"Cytochrome oxidase (COX) is the fourth complex of the mitochondrial respiratory chain. It transfers electrons from ferrocytochrome c to molecular oxygen.";"";"";
3114;Itgax-Itgb2-Icam4 complex;;Mouse;Q9ERM2,Q9QXH4,P11835;78369,16411,16414;MI:0004- affinity chromatography technologies;16985175;34.07,73.03.07.01;"Inhibition of erythrophagocytosis by anti-ICAM-4 and anti-integrin antibodies suggests a role for these interactions in removal of senescent red cells.";"";"";
5702;VEGF-KDR-NRP2 complex;;Pig;Q9N0K7,Q5RLQ5,P49151;0,0,397157;MI:0031- protein cross-linking with a bifunctional reagent;11278319;30.05.01,41.05.16,45.03.11,47.03.03.02;"";"";"";
2689;Fra1-JunB DNA-protein complex;;Rat;P10158,P24898;25445,24517;MI:0413- electrophoretic mobility shift assay;12371906;11.02.03.04,16.03.01,70.10,75.03.12.03;"Examination of the -1410 to -1362 bp promoter sequence of matrix metalloproteinase 2 (MMP-2) revealed a potential AP-1 complex binding site at -1394 to -1384bp. EMSA studies, combined with single and double antibody studies, indicate the specific binding of Fra1-JunB heterodimers to the AP-1 site using nuclear extracts from fibroblasts cultured under normoxic conditions. The studies demonstrate that a functional AP-1 site mediates MMP-2 transcription in cardiac cells through the binding of distinctive Fra1-JunB and FosB-JunB heterodimers.";"";"";
5465;IKB(epsilon)-RELA-cREL complex;;Human;O00221,Q04864,Q04206;4794,5966,5970;MI:0006- anti bait coimmunoprecipitation;9135156;11.02.03.04,30.01.05.01.04,70.03;"IKB(epsilon) is able to inhibit NF(kappa)B-directed transactivation via cytoplasmic retention of rel proteins. ";"";"";
