Table S3: List of merged CORUM reference complexes used in training PPI and Clustering optimization procedures (see Extended Experimental Procedures for details),,
No,Merged reference complex,Component-Accession ID
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",P52298
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",P09012
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",Q8WYQ5
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",P43243
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",Q9Y3B4
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",Q13247
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",O14776
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",Q96SB4
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",Q13769
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",O43719
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",Q9NW64
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",Q12874
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",P43246
2,"(E.F.G)_complex::12S_U11_snRNP::6S_methyltransferase_and_RG-containing_Sm_proteins_complex::20S_methylosome-SmD_complex::20S_methylosome_and_RG-containing_Sm_protein_complex::6S_methyltransferase_complex::JBP1-pICln_complex::SMN_complex,_U7_snRNA_specific::20S_methyltransferase_complex::AR_coactivator_complex::17S_U2_snRNP::SF3A1-SF3A2-SF3A3_complex::SF3b_complex::Exon_junction_complex::SRm160/300_complex::Spliceosome::THO_complex::TREX_complex::Splicing-associated_factors_complex::C_complex_spliceosome::PGC-1-SRp40-SRp55-SRp75_complex::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-L),_SAP18-RNPS1-Acinus-L::Apoptosis-_and_splicing-associated_protein_complex_(ASAP-S),_SAP18-RNPS1-Acinus-S::IPO13-RBM8A-MAGOH_complex::18S_U11/U12_snRNP::LSm1-7_complex::LSm2-8_complex::CDC5L_complex::CDC5L_core_complex::snRNP-free_U1A_(SF-A)_complex::Toposome::DCS_complex_(PTBP1,_PTBP2,_HNRPH1,_HNRPF)::DGCR8_multiprotein_complex::Large_Drosha_complex::CPSF6-EWSR1-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A-UBAP2L_complex::CPSF6-ITCH-NUDT21-POLR2A_complex::Exon_junction_complex,_EIF4A3-MLN51-MAGOH-Y14_(RNA-protein_complex)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14)::Exon_junction_complex_(EIF4A3-MLN51-MAGOH-Y14),__RNA-protein_complex::Exon_junction_complex_(EIF4A3-MLN51-UPF3B-MAGOH-Y14)::Exon_junction_complex_(F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)::POLR2A-CCNT1-CDK9-NCL-LEM6-CPSF2_complex::RNA_pol_II_containing_coactivator_complex_Tat-SF::SNW1_complex::p54(nrb)-PSF-matrin3_complex::TOP1-PSF-P54_complex",Q9ULR0
