Complex id;Complex name;Synonyms;organism;subunits (UniProt IDs);subunits (Entrez IDs);protein complex purification method;PubMed id;FunCat categories;"functional comment";"disease comment";"subunit comment";
62;MeCP1 complex; Mi2/NuRD-MBD2 complex;Human;Q14839,Q13547,Q92769,Q9UBB5,O95983,O94776,Q09028,Q16576;1108,3065,3066,8932,53615,9219,5928,5931;MI:0096- pull down;10444591;10.01.09.05,11.02.03.04.03,11.02.03.04.07,14.07.04,16.03.01,42.10.03,70.10;"MeCP1 protein complex represses transcription through preferential binding, remodeling, and deacetylation of methylated nucleosomes. ";"CHD4 is involved in dermatomyositis (PMID:9790534).";"";
63;Mitotic 14S cohesin 1 complex;;Human;O60216,Q14683,Q9UQE7,Q8WVM7;5885,8243,9126,10274;MI:0019- coimmunoprecipitation;11076961;10.03.01.01.11,10.03.04.05,42.10.03,70.10.03;"The results suggest that vertebrate cohesins are regulated by a novel prophase pathway which is distinct from the APC pathway that controls cohesins in yeast.";"";"";
64;Mitotic 14S cohesin 2 complex;;Human;O60216,Q14683,Q9UQE7,Q8N3U4;5885,8243,9126,10735;MI:0019- coimmunoprecipitation;11076961;10.03.01.01.11,42.10.03,70.10;"";"";"";
86;NUMAC complex (nucleosomal methylation activator complex); CARM1-associated complex;Human;P60709,O14497,Q86X55,Q96KG9,P51532,Q12824,Q92922,Q8TAQ2,Q96GM5,Q969G3;60,8289,10498,57410,6597,6598,6599,6601,6602,6605;MI:0004- affinity chromatography technologies | MI:0029- cosedimentation through density gradients;14729568;10.01.09.05,11.02.03.04.01,14.07.09,16.03.01,30.01.09.08,30.01.11,42.10.03,70.10;"In the NUMAC complex, the methylase, CARM1, acquires the ability to covalently modify nucleosomal histones.";"";"";
93;Anaphase-promoting complex; APC | cyclosome;Human;Q9H1A4,Q9UJX6,Q9UJX5,Q9UJX4,Q9UJX3,Q13042,Q9UJX2,P30260;64682,29882,29945,51433,51434,8881,8697,996;MI:0019- coimmunoprecipitation;9469815;10.03.01,14.07.05,16.01,70.10;"The initiation of anaphase and exit from mitosis depend on a multi-subunit ubiquitination complex called the anaphase-promoting complex (APC)1 or cyclosome. The APC ubiquitinates proteins such as Pds1 in budding yeast and Cut2 in fission yeast whose subsequent degradation by the 26 S proteasome is essential for the initiation of sister chromatid separation at the metaphase-anaphase transition. Later in anaphase and telophase the APC promotes the inactivation of the mitotic cyclin-dependent protein kinase 1 by ubiquitinating its activating subunit cyclin B.";"";"";
95;Ku antigen-NARG1 complex; OCFRE-binding complex;Human;Q9BXJ9,P13010,P12956;80155,7520,2547;MI:0004- affinity chromatography technologies;12145306;11.02.03.04,16.03.01,73.03.17;"This complex regulates osteocalcin gene expression.";"";"";
96;Anaphase-promoting complex; APC | cyclosome;Human;Q9H1A4,Q9UM13,Q9UJX6,Q9UJX5,Q9UJX4,Q9UJX3,Q13042,Q9UJX2,P30260;64682,10393,29882,29945,51433,51434,8881,8697,996;MI:0019- coimmunoprecipitation;10318877;10.03.01,14.07.05,16.01,70.10;"The initiation of anaphase and exit from mitosis depend on a multi-subunit ubiquitination complex called the anaphase-promoting complex (APC)1 or cyclosome. The APC ubiquitinates proteins such as Pds1 in budding yeast and Cut2 in fission yeast whose subsequent degradation by the 26 S proteasome is essential for the initiation of sister chromatid separation at the metaphase-anaphase transition. Later in anaphase and telophase the APC promotes the inactivation of the mitotic cyclin-dependent protein kinase 1 by ubiquitinating its activating subunit cyclin B.";"";"";
100;hNURF complex;;Human;Q12830,Q09028,Q16576,P28370;2186,5928,5931,6594;MI:0071- molecular sieving | MI:0226- ion exchange chromatography;14609955;10.01.09.05,11.02.03.04,41.05.13,42.10.03,43.03.13,70.10;"NURF is a member of the ISWI-containing chromatin remodeling complexes.";"";"";
103;RNA polymerase II holoenzyme complex;;Human;P18074,P19447,Q00403,P29083,P29084,P35269,P13984,P32780,Q13888,Q13889,Q92759,P24928,P30876,P19387,O15514,P19388,P61218,P62487,P52434,P36954,P52435,P53803,P62875,P20226;2068,2071,2959,2960,2961,2962,2963,2965,2966,2967,2968,5430,5431,5432,5433,5434,5435,5436,5437,5438,5439,5440,5441,6908;MI:0004- affinity chromatography technologies;9305922;11.02.03.01,16.03.01,70.10;"";"";"";
104;RNA polymerase II core complex;;Human;P24928,P30876,P19387,O15514,P19388,P61218,P62487,P52434,P36954,P52435,P53803,P62875;5430,5431,5432,5433,5434,5435,5436,5437,5438,5439,5440,5441;MI:0004- affinity chromatography technologies;9852112;11.02.03.01,16.03.01,70.10;"";"";"";
105;Polycomb repressive complex 2 (PRC 2);;Human;O75530,Q15910,Q09028,Q16576,Q15022;8726,2146,5928,5931,23512;MI:0096- pull down | MI:0069- mass spectrometry studies of complexes;12435631;10.01.09.05,11.02.03.04.03,11.02.03.04.07,14.07.09,42.10.03,70.10;"Polycomb repressive complexes are required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. They are methylating histones at lysine residues. PRC4 methylates preferentially the histone H1b isoform, whereas PRC2 methylated preferentially the histone H1d isoform. The PRC3 complex exclusively targets methylation of histone H3-K27, and the activity is repressed in the presence of histone H1. PRC2 also methylates histone H3-K27 but in the presence of histone H1, PRC2 methylates both H3-K27 and H1-K26.";"PRC complexes are overexpressed in breast, colon, and prostate cancers.";"";
112;Prefoldin complex;;Human;O60925,Q9UHV9,Q9NQP4,Q99471,O15212,P61758;5201,5202,5203,5204,10471,7411;MI:0413- electrophoretic mobility shift assay | MI:0040- electron microscopy | MI:0071- molecular sieving;12456645;14.01,42.04;"";"";"";
126;CCT micro-complex;;Human;P17987,P78371,P49368,P50991,P48643,P40227,Q99832,P50990;6950,10576,7203,10575,22948,908,10574,10694;MI:0029- cosedimentation through density gradients | MI:0047- far western blotting;9250675;14.01,16.01,16.19.03,70.03;"The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. CCT micro-complexes have mol. wts ranging from 120 to 250 kDa and are present in cells at lower abundance (<5%) as compared with intact CCT.";"";"";
144;Gamma-BAR-AP1 complex;;Human;Q10567,O43747,O75843,Q9BXS5,Q9Y6Q5,P61966,P56377,Q96PC3,Q63HQ0;162,164,8906,8907,10053,1174,8905,130340,55435;MI:0018- two hybrid | MI:0019- coimmunoprecipitation;15775984;14.04,18.01,20.09.07,20.09.07.25,20.09.18.09.01,42.09;"The isolation of AP1 adaptor complex was described in PMID:9733768.";"";"";
145;CCT:PFD complex;;Mammalia;Q32L40,Q3ZBH0,Q3T0K2,Q2T9X2,Q3T115,Q3MHL7,Q2NKZ1,Q3ZCI9,O60925,Q9UHV9,Q9NQP4,Q99471,O15212,P61758;512043,505313,504735,613336,533784,521540,514355,281047,5201,5202,5203,5204,10471,7411;MI:0040- electron microscopy | MI:0028- cosedimentation in solution | MI:0226- ion exchange chromatography;12456645;14.01,16.01,16.19.03,70.03;"The biogenesis of the cytoskeletal proteins actin and tubulin involves interaction of nascent chains of each of the two proteins with the oligomeric protein prefoldin (PFD) and their subsequent transfer to the cytosolic chaperonin CCT (chaperonin containing TCP-1). Three-dimensional reconstruction of the CCT:PFD complex based on cryoelectron microscopy reveals that PFD binds to each of the two CCT rings.";"";"";
149;PBAF complex (Polybromo- and BAF containing complex); SWI/SNF complex B;Human;Q68CP9,Q86U86,P51532,Q12824,Q92922,Q8TAQ2,Q96GM5,Q969G3,(P60709,P63261),(O96019,O94805);196528,55193,6597,6598,6599,6601,6602,6605,(60,71),(86,51412);MI:0004- affinity chromatography technologies | MI:0019- coimmunoprecipitation;11078522;10.01.09.05,11.02.03.04.01,16.03.01,30.01.09.08,30.01.11,42.10.03,70.10;"";"";"At the time of annotation, the additional member BAF240 of the protein complex was not found in the UniProt database.";
157;Condensin I complex; canonical condensin complex;Human;Q15021,Q9BPX3,Q15003,O95347,Q9NTJ3;9918,64151,23397,10592,10051;MI:0019- coimmunoprecipitation;10958694;10.03.01.01,10.03.04.03,42.10.03,70.10;"";"";"";
159;Condensin I-PARP-1-XRCC1 complex;;Human;Q15021,Q9BPX3,Q15003,P09874,O95347,Q9NTJ3,P18887;9918,64151,23397,142,10592,10051,7515;MI:0006- anti bait coimmunoprecipitation;16543152;10.01.05.01,32.01.09,70.10;"The association between PARP-1 and XRCC1 was enhanced in response to DNA damage.";"";"";
160;Condensin II;;Human;P42695,Q86XI2,Q6IBW4,O95347,Q9NTJ3;23310,54892,29781,10592,10051;MI:0006- anti bait coimmunoprecipitation;14532007;10.03.01.01,10.03.04.03,42.10.03,70.10;"";"";"";
163;Cohesin-SA2 complex;;Human;O60216,Q14683,Q9UQE7,Q8N3U4;5885,8243,9126,10735;MI:0006- anti bait coimmunoprecipitation | MI:0004- affinity chromatography technologies;10931856;10.03.01.01.11,10.03.04.05,16.03.01,42.10.03,70.10.03;"";"";"";
164;Cohesin-SA1 complex;;Human;O60216,Q14683,Q9UQE7,Q8WVM7;5885,8243,9126,10274;MI:0006- anti bait coimmunoprecipitation | MI:0004- affinity chromatography technologies;10931856;10.03.01.01.11,10.03.04.05,16.03.01,42.10.03,70.10.03;"In HeLa cell extracts, the ratio between the hSA1-containing complex (h-cohesin SA1) and the hSA2-containing complex (h-cohesin SA2) is about 1:3.";"";"";
165;Cohesin-SA1 complex;;Human;O60216,Q14683,Q9UQE7,Q8WVM7;5885,8243,9126,10274;MI:0004- affinity chromatography technologies;11250156;10.03.01.01.11,10.03.04.05,16.03.01,42.10.03,70.10.03;"The cohesin complex binds directly to double-stranded DNA and induces the formation of large protein-DNA aggregates.";"";"";
166;Cohesin-SA2 complex;;Human;O60216,Q14683,Q9UQE7,Q8N3U4;5885,8243,9126,10735;MI:0004- affinity chromatography technologies;11250156;10.03.01.01.11,10.03.04.05,16.03.01,42.10.03,70.10.03;"The cohesin complex binds directly to double-stranded DNA and induces the formation of large protein-DNA aggregates.";"";"";
167;Condensin I complex; canonical condensin complex;Human;Q15021,Q9BPX3,Q15003,O95347,Q9NTJ3;9918,64151,23397,10592,10051;MI:0004- affinity chromatography technologies;11250156;10.03.01.01,10.03.04.03,42.10.03,70.10;"";"";"";
181;26S proteasome;;Human;P25786,P25787,P25788,P25789,P28066,P60900,O14818,P20618,P49721,P49720,P28070,P28074,P28072,Q99436,P62191,P35998,P17980,P43686,P62195,P62333,Q9UNM6,P55036;5682,5683,5684,5685,5686,5687,5688,5689,5690,5691,5692,5693,5694,5695,5700,5701,5702,5704,5705,5706,5719,5710;MI:0019- coimmunoprecipitation;11812135;14.13.01.01,16.01,32.01,70.03,70.10;"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.";"";"";
189;BAF complex; SWI/SNF complex A;Human;P51531,P51532,Q12824,Q92922,Q8TAQ2,Q96GM5,Q969G3,(P60709,P63261),(O96019,O94805),(O14497,Q8NFD5);6595,6597,6598,6599,6601,6602,6605,(60,71),(86,51412),(8289,57492);MI:0004- affinity chromatography technologies | MI:0019- coimmunoprecipitation;11078522;10.01.09.05,11.02.03.04.01,16.03.01,42.10.03,70.10;"";"";"At the time of annotation, the additional member BAF110 of the protein complex was not found in the UniProt database.";
191;20S proteasome;;Human;P25786,P25787,P25788,P25789,P28066,P60900,O14818,P20618,P49721,P49720,P28070,P28074,P28072,Q99436;5682,5683,5684,5685,5686,5687,5688,5689,5690,5691,5692,5693,5694,5695;MI:0029- cosedimentation through density gradients;7811265;14.07.11,14.13.01.01,32.01,70.03,70.10;"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.";"";"";
192;PA28-20S proteasome;;Human;P25786,P25787,P25788,P25789,P28066,P60900,O14818,P20618,P49721,P49720,P28070,P28074,P28072,Q99436,Q06323,Q9UL46;5682,5683,5684,5685,5686,5687,5688,5689,5690,5691,5692,5693,5694,5695,5720,5721;MI:0029- cosedimentation through density gradients;11676531;14.07.11,14.13.01.01,32.01,70.03,70.10;"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.";"";"";
193;PA700-20S-PA28 complex; proteasome;Human;P25786,P25787,P25788,P25789,P28066,P60900,O14818,P20618,P49721,P49720,P28070,P28074,P28072,Q99436,P62191,P35998,P17980,P43686,P62195,P62333,Q99460,O75832,O00231,O00232,Q9UNM6,O00487,Q13200,O43242,P55036,Q16401,Q15008,P51665,P48556,O00233,Q06323,Q9UL46;5682,5683,5684,5685,5686,5687,5688,5689,5690,5691,5692,5693,5694,5695,5700,5701,5702,5704,5705,5706,5707,5716,5717,5718,5719,10213,5708,5709,5710,5711,9861,5713,5714,5715,5720,5721;MI:0029- cosedimentation through density gradients;11676531;14.13.01.01,16.01,18.01.07,18.02.01.01.03;"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.";"";"";
194;PA28gamma-20S proteasome;;Human;P25786,P25787,P25788,P25789,P28066,P60900,O14818,P20618,P49721,P49720,P28070,P28074,P28072,Q99436,P61289;5682,5683,5684,5685,5686,5687,5688,5689,5690,5691,5692,5693,5694,5695,10197;MI:0029- cosedimentation through density gradients;7811265;14.07.11,14.13.01.01,32.01,70.03,70.10;"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.";"";"";
234;HuCHRAC complex;;Human;Q9NRL2,Q9NRG0,Q9NRF9,O60264;11177,54108,54107,8467;MI:0226- ion exchange chromatography;10880450;10.01.09.05,16.01,16.03.01,16.19.03,70.10;"HuCHRAC is a member of the ISWI-containing chromatin remodelling complexes. The polyclonal antibodies against ISWI do not discriminate between hSNF2L and hSNF2H.";"";"";
238;SWI-SNF chromatin remodeling-related-BRCA1 complex;;Human;O96019,P38398,P51531,P51532,Q12824,Q92922,Q8TAQ2,Q92925,Q969G3,(O14497,Q8NFD5);86,672,6595,6597,6598,6599,6601,6603,6605,(8289,57492);MI:0071- molecular sieving | MI:0004- affinity chromatography technologies;10943845;10.01.09.05,11.02.03.04,42.10.03,70.10;"BRCA1 interacts directly with BRG1.";"BRCA1 gene is involved in breast and ovarian cancers.";"";
244;BRAFT complex; BLM complex I;Human;P54132,O15360,Q00597,Q9HB96,Q9NPI8,O15287,Q9NW38,P40692,Q9H9A7,P27694,P15927,P35244,Q13472;641,2175,2176,2178,2188,2189,55120,4292,80010,6117,6118,6119,7156;MI:0006- anti bait coimmunoprecipitation;12724401;10.01.02,10.01.05.01,32.01.09,70.10;"";"BRAFT complex is involved in Fanconi Anemia (FA) and Bloom Syndrome (BS).";"The BRAFT complex contains several other proteins of unknown function, called FAAPs or BLAPs. FAAP 43 has been identified as FANCL/PHF9 in a following paper (PMID:12973351).";
248;BRAFT complex;;Human;P54132,O15360,Q00597,Q9HB96,Q9NPI8,O15287,Q9NW38,P27694,P15927,P35244,Q13472;641,2175,2176,2178,2188,2189,55120,6117,6118,6119,7156;MI:0006- anti bait coimmunoprecipitation;12973351;10.01.02,10.01.05.01,14.07.05,32.01.09,70.10;"";"";"FANCL/PHF9 (formerly called FAAP 43) is a newly identified component of the BRAFT complex.";
280;HMGB1-HMGB2-HSC70-ERP60-GAPDH complex;;Human;P04406,P09429,P26583,P11142,P30101;2597,3146,3148,3312,2923;MI:0413- electrophoretic mobility shift assay;12517784;10.01.05.01,16.03.01,32.01.09,70.10;"The protein/DNA complex was isolated from human leukemia cells deficient in components of the mismatch repair system (Nalm6). This complex detects changes in DNA structure caused by incorporation of nonnatural nucleosides and is a determinant of cell sensitivity to such DNA modifying chemotherapy. The authors show that murine fibroblasts deficient in one component of the complex, Hmgb1, are 10-fold more resistant to thiopurine treatment than their wild-type counterparts.";"";"";
282;SNF2h-cohesin-NuRD complex; ISWI (SNF2h)-containing chromatin remodeling complex;Human;Q9NRL2,Q12873,Q13547,Q92769,Q9UBB5,O95983,Q13330,O94776,O60216,Q09028,Q16576,O60264,Q14683,Q9UQE7,Q8WVM7,Q8N3U4;11177,1107,3065,3066,8932,53615,9112,9219,5885,5928,5931,8467,8243,9126,10274,10735;MI:0226- ion exchange chromatography | MI:0071- molecular sieving;12198550;10.01.09.05,16.03.01,42.10.03,70.10.03;"The association of the complex with chromatin can be regulated by the state of DNA methylation.";"";"";
283;Sin3 complex; Histone deacetylase complex;Human;Q13547,Q92769,Q09028,Q16576,O00422,O75446,Q96ST3;3065,3066,5928,5931,10284,8819,25942;MI:0004- affinity chromatography technologies;9651585;10.01.09.05,11.02.03.04.03,14.07.04,16.01,42.10.03;"";"";"";
286;PCNA-MSH2-MSH6 complex;;Human;P43246,P52701,P12004;4436,2956,5111;MI:0107- surface plasmon resonance;16303135;10.01.03,10.01.05.01,70.10;"The authors show that PCNA interacts with MSH2-MSH6 with a higher affinity than with MLH1-PMS1.";"";"";
289;PCNA-MSH2-MSH6 complex;;Human;P43246,P52701,P12004;4436,2956,5111;MI:0096- pull down | MI:0004- affinity chromatography technologies;11005803;10.01.05.01,70.10;"PCNA binds to MSH2-MSH6 complex.";"";"";
302;INO80 chromatin remodeling complex; INO80 complex;Human;O96019,Q9H9F9,Q9H981,Q6PI98,Q8NBZ0,Q53TQ3,Q9ULG1,Q96EZ8,Q6P4R8,Q9Y265,Q9Y230,P15923,Q9C086;86,79913,93973,125476,283899,54891,54617,10445,4798,8607,10856,6929,83444;MI:0007- anti tag coimmunoprecipitation;16230350;10.01.09.05,16.03.01,16.19.03,42.10.03,70.10.03;"INO80 complex exhibits DNA- and nucleosome-activated ATPase activity and catalyzes ATP-dependent nucleosome sliding.";"";"";
304;SRCAP-associated chromatin remodeling complex;;Human;O96019,Q9GZN1,Q96CJ1,P0C0S5,Q9Y265,Q9Y230,Q6ZRS2,Q15906,O95619,O43257;86,64431,55840,3015,8607,10856,10847,6944,8089,10467;MI:0007- anti tag coimmunoprecipitation;15647280;10.01.09.05,11.02.03.04.01,42.10.03,70.10;"";"";"";
305;40S ribosomal subunit, cytoplasmic; small ribosomal subunit, cytoplasmic;Human;P62861,P46783,P62280,P25398,P62277,P62263,P62841,P62244,P62249,P08708,P62269,P39019,P15880,P60866,P63220,P62266,P62847,P62851,P62854,P42677,P62979,P62857,P62273,P23396,P61247,P62701,P46782,P62753,P62081,P62241,P46781,P08865,(P22090,Q8TD47);2197,6204,6205,6206,6207,6208,6209,6210,6217,6218,6222,6223,6187,6224,6227,6228,6229,6230,6231,6232,6233,6234,6235,6188,6189,6191,6193,6194,6201,6202,6203,3921,(6192,140032);MI:0363- inferred by author;14681386;12,70.03;"";"";"";
306;Ribosome, cytoplasmic;;Human;P62861,P27635,P62906,P62913,P30050,P26373,P40429,P50914,P61313,P18621,Q07020,Q02543,P84098,P46778,P35268,P62829,P62750,P83731,P61254,P61353,P46776,P46779,P47914,P39023,P62888,P62899,P62910,P49207,P42766,P18077,Q9Y3U8,P83881,P61927,P61513,P63173,P62891,P36578,P62945,P46777,Q02878,P18124,P62424,P62917,P32969,P05388,P05386,P05387,P46783,P62280,P25398,P62277,P62263,P62841,P62244,P62249,P08708,P62269,P39019,P15880,P60866,P63220,P62266,P62847,P62851,P62854,P42677,P62979,P62857,P62273,P23396,P61247,P62701,P46782,P62753,P62081,P62241,P46781,P08865,P62987,(P22090,Q8TD47);2197,6134,4736,6135,6136,6137,23521,9045,6138,6139,6141,6142,6143,6144,6146,9349,6147,6152,6154,6155,6157,6158,6159,6122,6156,6160,6161,6164,11224,6165,25873,6173,6167,6168,6169,6170,6124,6171,6125,6128,6129,6130,6132,6133,6175,6176,6181,6204,6205,6206,6207,6208,6209,6210,6217,6218,6222,6223,6187,6224,6227,6228,6229,6230,6231,6232,6233,6234,6235,6188,6189,6191,6193,6194,6201,6202,6203,3921,7311,(6192,140032);MI:0363- inferred by author;14681386;12,70.03;"";"";"";
308;60S ribosomal subunit, cytoplasmic; large ribosomal subunit, cytoplasmic;Human;P27635,P62906,P62913,P30050,P26373,P40429,P50914,P61313,P18621,Q07020,Q02543,P84098,P46778,P35268,P62829,P62750,P83731,P61254,P61353,P46776,P46779,P47914,P39023,P62888,P62899,P62910,P49207,P42766,P18077,Q9Y3U8,P83881,P61927,P61513,P63173,P62891,P36578,P62945,P46777,Q02878,P18124,P62424,P62917,P32969,P05388,P05386,P05387,P62987;6134,4736,6135,6136,6137,23521,9045,6138,6139,6141,6142,6143,6144,6146,9349,6147,6152,6154,6155,6157,6158,6159,6122,6156,6160,6161,6164,11224,6165,25873,6173,6167,6168,6169,6170,6124,6171,6125,6128,6129,6130,6132,6133,6175,6176,6181,7311;MI:0363- inferred by author;14681386;12,70.03;"";"";"";
315;28S ribosomal subunit, mitochondrial; Small ribosomal subunit, mitochondrial;Human;P51398,P82664,P82912,O15235,O60783,P82914,Q9Y3D3,Q9Y2R5,Q9NVS2,Q9Y676,Q9Y3D5,Q9Y399,P82921,P82650,Q9Y3D9,Q96EL2,P82663,Q9BYN8,Q92552,Q9Y2Q9,Q9NP92,Q92665,Q9Y291,P82930,P82673,P82909,P82675,P82932,Q9Y2R9,P82933;7818,55173,64963,6183,63931,64960,51021,51373,55168,28973,51023,51116,54460,56945,51649,64951,64432,64949,23107,28957,10884,10240,51650,65993,60488,92259,64969,64968,51081,64965;MI:0363- inferred by author;14681386;12,70.16.07;"With the exception of MRPS12, all proteins of the small ribosomal subunit from ribosomes of Bos taurus were identified in a proteomic approach (PMID:11279123).";"";"";
